experiment_id,area_under_curve,master_cpd_id
2,15,640011
2,13.604,640157
2,14.278,640265
2,15.407,641721
2,16.496,648987
2,15.883,649420
2,14.432,649862
2,15.158,651304
2,15.387,651642
2,13.454,652975
2,14.762,657183
2,14.319,659371
2,15.44,659682
2,14.559,659993
2,15.581,660064
2,12.507,660073
2,13.847,660075
2,14.942,660078
2,16.191,660079
2,16.18,660080
2,15.777,660081
2,15.252,660082
2,12.337,660083
2,14.018,660084
2,15,660086
2,14.871,660087
2,14.22,660119
2,14.786,660129
2,14.318,660130
2,13.336,660131
2,12.552,660132
2,14.488,660133
2,16.384,660134
2,12.137,660135
2,17.169,660136
2,16.468,660137
2,14.763,660139
2,14.097,660140
2,14.896,660145
2,14.578,660172
2,15.663,660173
2,12.993,660174
2,14.51,660175
2,13.184,660176
2,12.376,660177
2,16.143,660178
2,13.882,660179
2,14.484,660180
2,13.732,660181
2,14.689,660201
2,15.817,660202
2,13.163,660206
2,14.612,660207
2,14.251,660216
2,13.036,660217
2,11.566,660218
2,15.256,660219
2,14.934,660220
2,14.598,660221
2,14.032,660222
2,16.095,660223
2,15.449,660224
2,14.317,660225
2,15,660227
2,15.639,660228
2,14.728,660229
2,15.851,660230
2,12.202,660238
2,14.415,660245
2,13.917,660246
2,15,660247
2,15.77,660248
2,15,660249
2,15.424,660250
2,14.703,660251
2,16.217,660252
2,14.655,660253
2,15.559,660268
2,16.165,660269
2,14.095,660270
2,15.58,660271
2,14.936,660280
2,14.345,660281
2,13.053,660282
2,14.89,660283
2,14.442,660284
2,8.6582,660286
2,12.635,660287
2,15.492,660288
2,15.613,660301
2,16.699,660304
2,15.526,660314
2,15.15,660317
2,9.3024,660318
2,11.524,660319
2,14.355,660321
2,13.312,660322
2,12.311,660325
2,14.703,660327
2,12.794,660331
2,15.976,660332
2,14.178,660341
2,12.106,660346
2,12.372,660358
2,15.694,660391
2,14.871,660397
2,16.342,660410
2,13.492,660411
2,15.015,660412
2,12.697,660413
2,12.978,660414
2,17.432,660421
2,15.197,660424
2,15.07,660425
2,14.011,660429
2,14.626,660430
2,14.579,660431
2,11.786,660432
2,14.8,660433
2,12.973,660434
2,14.869,660768
2,13.424,660774
2,13.984,660778
2,12.411,660779
2,13.864,660796
2,14.205,660797
2,13.312,660798
